unit_id,station_code,station_name,station_desc,esc_desc,unit_type
"K04X01ELEVATOR","K04","BALLSTON-MU","","Elevator between street and mezzanine to Vienna","ELEVATOR"
"K04X02ELEVATOR","K04","BALLSTON-MU","","Elevator between mezzanine and platform to New Carrollton","ELEVATOR"
"K04X03ELEVATOR","K04","BALLSTON-MU","","Elevator between street and mezzanine to Vienna","ELEVATOR"
"K04X05ELEVATOR","K04","BALLSTON-MU","","Elevator between street and mezzanine to New Carrollton","ELEVATOR"
"G01X01ELEVATOR","G01","BENNING ROAD","","Elevator between street and mezzanine, north side of Benning Road at 45th Street","ELEVATOR"
"G01X02ELEVATOR","G01","BENNING ROAD","","Elevator between mezzanine and platform","ELEVATOR"
"A09X02ELEVATOR","A09","BETHESDA","","Elevator between mezzanine and platform","ELEVATOR"
"C12X01ELEVATOR","C12","BRADDOCK ROAD","","Elevator between mezzanine and platform","ELEVATOR"
"F11X01ELEVATOR","F11","BRANCH AVENUE","","Elevator between mezzanine and platform","ELEVATOR"
"B05X01ELEVATOR","B05","BROOKLAND-CUA","","Elevator between mezzanine and street at bus terminal","ELEVATOR"
"B05X02ELEVATOR","B05","BROOKLAND-CUA","","Elevator between mezzanine and platform","ELEVATOR"
"G02X01ELEVATOR","G02","CAPITOL HEIGHTS","","Elevator between street and mezzanine","ELEVATOR"
"G02X02ELEVATOR","G02","CAPITOL HEIGHTS","","Elevator between mezzanine and platform","ELEVATOR"
"D05X01ELEVATOR","D05","CAPITOL SOUTH","","Elevator between street and mezzanine","ELEVATOR"
"D05X02ELEVATOR","D05","CAPITOL SOUTH","","Elevator between mezzanine and platform","ELEVATOR"
"D11X01ELEVATOR","D11","CHEVERLY","","Elevator between street and mezzanine","ELEVATOR"
"D11X02ELEVATOR","D11","CHEVERLY","","Elevator between mezzanine and platform to New Carrollton","ELEVATOR"
"K02X01ELEVATOR","K02","CLARENDON","","Elevator between street and mezzanine","ELEVATOR"
"K02X02ELEVATOR","K02","CLARENDON","","Elevator between mezzanine and platform to Vienna","ELEVATOR"
"E09X01ELEVATOR","E09","COLLEGE PARK-U of MD","","Elevator between street and mezzanine on west side of station at Post Office","ELEVATOR"
"E09X02ELEVATOR","E09","COLLEGE PARK-U of MD","","Elevator between street and mezzanine on east side of station at Kiss & Ride","ELEVATOR"
"E09X03ELEVATOR","E09","COLLEGE PARK-U of MD","","Elevator between mezzanine and platform","ELEVATOR"
"E09X04ELEVATOR","E09","COLLEGE PARK-U of MD","","Garage elevator","ELEVATOR"
"E09X05ELEVATOR","E09","COLLEGE PARK-U of MD","","Garage elevator","ELEVATOR"
"F07X02ELEVATOR","F07","CONGRESS HEIGHTS","","Elevator between mezzanine and platform","ELEVATOR"
"K01X02ELEVATOR","K01","COURT HOUSE","","Elevator between mezzanine and platform","ELEVATOR"
"C09X02ELEVATOR","C09","CRYSTAL CITY","","Elevator between mezzanine and platform to Huntington/Franconia-Springfield","ELEVATOR"
"C09X03ELEVATOR","C09","CRYSTAL CITY","","Elevator between mezzanine and platform to Mt. Vernon Sq/Largo Town Center","ELEVATOR"
"D10X01ELEVATOR","D10","DEANWOOD","","Elevator between street and mezzanine","ELEVATOR"
"D10X02ELEVATOR","D10","DEANWOOD","","Elevator between mezzanine and platform","ELEVATOR"
"K07X01ELEVATOR","K07","DUNN LORING-MERRIFIELD","","Elevator between mezzanine and platform","ELEVATOR"
"A03N02ELEVATOR","A03","DUPONT CIRCLE","Q Street Entrance","Elevator between mezzanine and platform to Shady Grove","ELEVATOR"
"A03N03ELEVATOR","A03","DUPONT CIRCLE","Q Street Entrance","Elevator between mezzanine and platform to Glenmont","ELEVATOR"
"K05X01ELEVATOR","K05","EAST FALLS CHURCH","","Elevator between mezzanine and platform","ELEVATOR"
"D06X01ELEVATOR","D06","EASTERN MARKET","","Elevator between street and mezzanine","ELEVATOR"
"D06X02ELEVATOR","D06","EASTERN MARKET","","Elevator between mezzanine and platform","ELEVATOR"
"C14X01ELEVATOR","C14","EISENHOWER AVENUE","","Elevator between mezzanine and platform to Mt.Vernon Sq","ELEVATOR"
"C14X02ELEVATOR","C14","EISENHOWER AVENUE","","Elevator between mezzanine and platform to Huntington","ELEVATOR"
"A02S01ELEVATOR","A02","FARRAGUT NORTH","K Street Entrance","Elevator between street and mezzanine, east side of Connecticut Ave near K Street","ELEVATOR"
"A02S02ELEVATOR","A02","FARRAGUT NORTH","K Street Entrance","Elevator between mezzanine and platform","ELEVATOR"
